,Номенклатура,ДатаПонедельника,МесяцГод,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,ОстаткиПередНеделей,ОстаткиПослеНедели,Прогноз
98,49775,2018-11-12,"[11, 2018]",0.0,0.0,[],11.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
99,49775,2018-11-19,"[11, 2018]",9.0,2718.5,"['1794.92', '509.01']",11.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
100,49775,2018-11-26,"[11.428571428571429, 2018]",2.0,584.0,['488.21'],11.428571428571429,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
101,49775,2018-12-03,"[12, 2018]",7.0,2233.21,"['256.31', '1538.61']",12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
102,49775,2018-12-10,"[12, 2018]",16.0,4765.34,"['488.21', '513.73', '1023.29', '513.17', '511.16', '1022.32']",12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
103,49775,2018-12-17,"[12, 2018]",8.0,2392.44,"['513.72', '1024.89', '511.16']",12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
104,49775,2018-12-24,"[12, 2018]",6.0,1744.1,"['511.16', '507.51', '511.16']",12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
105,49775,2018-12-31,"[13.0, 2019]",9.0,1929.24,['2262.03'],13.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
106,49775,2019-01-07,"[1, 2019]",4.0,1229.6,"['513.17', '488.21']",1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
107,49775,2019-01-14,"[1, 2019]",10.0,2874.2,"['511.16', '511.16', '511.16', '511.16', '470.94']",1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
108,49775,2019-01-21,"[1, 2019]",20.0,6152.82,"['1442.37', '976.42', '511.16', '1004.11', '1025.22']",1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
109,49775,2019-01-28,"[1.5714285714285714, 2019]",8.0,2272.48,['1995.55'],1.5714285714285714,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
